chatId,authorName,avatar,content,attachments,embeds,date,referenceMessage,referenceMessageDate,referenceMessageAuthor
1482243665224138843,wang_rongsheng,https://cdn.discordapp.com/avatars/951477041641959434/565a9782e03b71390658d51d0aa215ee.png,🤔,,,2026/03/13 22:07,,,
1482249979115606128,guohaozhang,https://cdn.discordapp.com/avatars/428823458747777034/1df851e85d237ec6bafbb114b6eef76b.png,You are welcomed🤣,,,2026/03/13 22:32,I am a participant from China. Will I be affected by the physical list? And why am I unable to join the AMD Developer Program?,2026-03-14T05:06:50.373000+00:00,wang_rongsheng
1482253536162218057,wang_rongsheng,https://cdn.discordapp.com/avatars/951477041641959434/565a9782e03b71390658d51d0aa215ee.png,"Terms and Conditions are described in a very intimidating way, which made me feel compelled to ask about them.😷",,,2026/03/13 22:46,,,
1482254890620420208,danielhuang_12953,https://cdn.discordapp.com/avatars/1354693822055055441/7ce6623822e6444ea5118e637d85935d.png,"exact MLA impls are definitely what we really expected. As for internal approximations, it depends on what the specific method you use, some are valid some not, it's hard for me to say right or wrong until I have seen your code.",,,2026/03/13 22:51,"For the MLA challenge, I got to the 20us range, and the solutions is definitely exploity, but it's not a clear exploit like the 20us, or the 4us.

For this task, should leaderboard solutions be interpreted as exact MLA decode implementations, or is it acceptable to use internal approximations such as pruning/selective KV evaluation if the output remains within the evaluator tolerances?",2026-03-13T13:49:32.810000+00:00,josusanmartin
1482255101728129074,danielhuang_12953,https://cdn.discordapp.com/avatars/1354693822055055441/7ce6623822e6444ea5118e637d85935d.png,"that's unreasonable, pls email to ai_dev_contests@amd.com to describle",,,2026/03/13 22:52,"Terms and Conditions are described in a very intimidating way, which made me feel compelled to ask about them.😷",2026-03-14T05:46:21.960000+00:00,wang_rongsheng
1482260867893694557,wang_rongsheng,https://cdn.discordapp.com/avatars/951477041641959434/565a9782e03b71390658d51d0aa215ee.png,thank you.,,,2026/03/13 23:15,,,
1482277433976684546,guohaozhang,https://cdn.discordapp.com/avatars/428823458747777034/1df851e85d237ec6bafbb114b6eef76b.png,"Is anyone upgrading kernelbot backend?😂 😂  I got a 500 internal server error:  **Internal server error while validating leaderboard/GPU: column ""visibility"" does not exist ** when I tried to submit.",,,2026/03/14 00:21,,,
1482278309084532776,jiab_85281,https://cdn.discordapp.com/avatars/1266335484150546519/null.png,yea me 2,,,2026/03/14 00:24,,,
1482278350444826718,s1r_o,https://cdn.discordapp.com/avatars/489144435032981515/7d6910fe0d4c25d80eb92ae36da90163.png,yeah it's me,,,2026/03/14 00:24,,,
1482278358015541329,s1r_o,https://cdn.discordapp.com/avatars/489144435032981515/7d6910fe0d4c25d80eb92ae36da90163.png,working on it,,,2026/03/14 00:24,,,
1482278361995939881,s1r_o,https://cdn.discordapp.com/avatars/489144435032981515/7d6910fe0d4c25d80eb92ae36da90163.png,sorry,,,2026/03/14 00:25,,,
1482280283490353296,s1r_o,https://cdn.discordapp.com/avatars/489144435032981515/7d6910fe0d4c25d80eb92ae36da90163.png,"ok should work now, sorry folks",,,2026/03/14 00:32,,,
1482302508771840165,guohaozhang,https://cdn.discordapp.com/avatars/428823458747777034/1df851e85d237ec6bafbb114b6eef76b.png,Can we use `torch.utils.load_inline` in this competition? Or only pure Python?,,,2026/03/14 02:00,,,
